Topic,Count,Name,Representation,Representative_Docs,Channel
-1,7,-1_ice_addresses_attacks_congressional,"['ice', 'addresses', 'attacks', 'congressional', 'cancer', 'call', 'dad', 'hide', 'custody', 'candidate']","['Coyote attacks 9-year-old playing hide-and-seek in Oregon', 'Progressive congressional candidate indicted in connection with ICE protest', 'Dad released from ICE custody reunites with cancer-stricken daughter']",ABC News
0,18,0_2025_october_abc_news,"['2025', 'october', 'abc', 'news', 'broadcast', 'full', '29', 'live', '30', 'good']","['Good Morning America Full Broadcast —  Wednesday, October 29, 2025', 'ABC News Live Prime: October 29, 2025', 'ABC News Live Prime: October 29, 2025']",ABC News
1,15,1_benefits_snap_set_food,"['benefits', 'snap', 'set', 'food', 'to', 'as', 'for', 'million', 'federal', 'americans']","['Government shutdown triggers food crisis for 40+ million Americans on SNAP benefits', 'SNAP benefits set to run out due to government shutdown', 'Food banks across the country bracing for a rush as 42 million Americans set to lose SNAP benefits']",ABC News
2,13,2_trump_to_china_xi,"['trump', 'to', 'china', 'xi', 'nuclear', 'meeting', 'pentagon', 'end', 'high', 'be']","['Trump directs Pentagon to match Russia, China in nuclear weapons testing', 'Trump says some tariffs on China will be lowered after meeting with Xi', 'High-stakes Trump, Xi meeting in South Korea to discuss tariffs, rare earth minerals']",ABC News
3,12,3_melissa_hurricane_after_jamaica,"['melissa', 'hurricane', 'after', 'jamaica', 'relief', 'underway', 'toll', 'storm', 'northeast', 'caribbean']","['Hurricane Melissa on the move after slamming Jamaica', 'Urgent search and recovery underway in Jamaica after Hurricane Melissa', 'Relief effort underway in Kingston, Jamaica, after Hurricane Melissa']",ABC News
4,10,4_guilty_massey_sonya_of,"['guilty', 'massey', 'sonya', 'of', 'deputy', 'jury', 'jan', 'finds', 'leave', 'murder']","[""Former Illinois deputy found guilty of murder in Sonya Massey's death"", 'Attorneys speak after jury finds Sean Grayson guilty of murdering Sonya Massey', 'Jury finds ex-deputy guilty of murder in Sonya Massey shooting']",ABC News
5,6,5_sudan_darfur_evidence_blood,"['sudan', 'darfur', 'evidence', 'blood', 'genocide', 'visible', 'shows', 'space', 'paramilitary', 'in']","['Paramilitary group RSF seizes control of key city in Sudan', 'Blood visible from space in Sudan shows evidence of Darfur genocide: Analysts', 'Blood visible from space in Sudan shows evidence of Darfur genocide']",ABC News
6,6,6_prince_andrew_royal_title,"['prince', 'andrew', 'royal', 'title', 'stripped', 'of', 'charles', 'buckingham', 'king', 'palace']","[""King Charles strips all of Prince Andrew's royal titles amid Epstein scandal"", 'Prince Andrew has been stripped of his ""prince"" title, Buckingham Palace announces', ""Prince Andrew stripped of his 'prince' title, per Buckingham Palace""]",ABC News
7,5,7_new_roberts_her_and,"['new', 'roberts', 'her', 'and', 'the', 'on', 'album', 'film', 'fighter', 'fatherhood']","['Michelle Obama: The Style, The Power, The Look – A Conversation with Robin Roberts - Trailer', 'Demi Lovato on her new album, tour and life as a newlywed', 'ABC News’ Deborah Roberts on her new book ‘Sisters Loved and Treasured’']",ABC News
8,4,8_halloween_candy_house_white,"['halloween', 'candy', 'house', 'white', 'for', 'at', 'guide', 'celebration', 'dentist', '75']","[""A dentist's survival guide for parents on Halloween candy"", 'Trumps host Halloween celebration at the White House', 'President Trump and Melania pass out candy for Halloween at the White House']",ABC News
9,4,9_dog_police_braving_back,"['dog', 'police', 'braving', 'back', 'arrest', 'detainers', 'designed', 'first', 'escapes', 'housekeeping']","['Police officer on braving icy waters to rescue injured dog', 'Man with multiple arrest warrants, ICE detainers escapes police while handcuffed', 'Dog owner uses smelly socks to lure lost pet back home']",ABC News
-1,19,-1_prince_in_andrew_responds,"['prince', 'in', 'andrew', 'responds', 'title', 'virginia', 'and', 'to', 'calling', 'giuffre']","['Prince Andrew to be stripped of ‘prince’ title and evicted from royal mansion', ""Virginia Giuffre's family reacts to Andrew being stripped of 'prince' title"", ""Virginia Giuffre's brother responds to Andrew losing 'prince' title""]",CNN
0,15,0_melissa_hurricane_jamaica_after,"['melissa', 'hurricane', 'jamaica', 'after', 'black', 'river', 'and', 'in', 'homeless', 'city']","['Black River, Jamaica residents search for resources after hurricane', 'Jamaica in Crisis After Hurricane Melissa', 'CNN is on the ground in Black River, Jamaica after Hurricane Melissa makes landfall']",CNN
1,13,1_trump_xi_china_the,"['trump', 'xi', 'china', 'the', 'deal', 'asia', 'analysis', 'his', 'leaders', 'january']","['China’s Xi in the limelight as Trump leaves summit early', ""Max Boot: Trump talks to Xi like arsonist saying he's going to put out the fire"", '‘He’s basically reset the clock to January’: David Sanger reacts to Trump’s trade deal with China']",CNN
2,12,2_halloween_fbi_house_leads,"['halloween', 'fbi', 'house', 'leads', 'white', 'potential', 'the', 'attack', 'this', 'at']","[""See kid costumes at this year's White House Halloween event"", 'FBI director says ‘potential terrorist attack’ over Halloween weekend was averted', 'Halloween at the White House over the years']",CNN
3,10,3_snap_food_judges_benefits,"['snap', 'food', 'judges', 'benefits', 'must', 'judge', 'assistance', 'some', 'admin', 'stand']","[""Judge indicates she'll intervene in fight over SNAP food assistance money"", 'Judges: Trump admin must use emergency funds to pay some SNAP benefits', 'Two federal judges rule Trump admin must cover some SNAP benefits']",CNN
4,8,4_by_old_teacher_student,"['by', 'old', 'teacher', 'student', 'year', 'shot', 'sudan', 'in', 'draft', 'against']","['Video shows wounded teacher after being shot by 6-year-old student', 'Teacher recounts moment she was shot by 6-year-old student', 'Teacher shot by her 6-year-old student takes the stand in civil trial']",CNN
5,7,5_nuclear_testing_us_trump,"['nuclear', 'testing', 'us', 'trump', 'boats', 'drug', 'alleged', 'blindsided', 'deception', 'doctor']","['Some of Trump’s advisers blindsided as he declares plans for new US nuclear tests', 'Why is the US restarting nuclear weapon testing?', 'Trump says US will resume nuclear testing']",CNN
6,7,6_shutdown_filibuster_trump_senate,"['shutdown', 'filibuster', 'trump', 'senate', 'gop', 'end', 'abolish', 'on', 'as', 'frustrations']","['Thune erupts on Senate floor as frustrations mount over shutdown', 'Speaker Johnson issues warning after Trump says GOP should end the filibuster', 'Trump calls on GOP to abolish filibuster to end shutdown']",CNN
7,5,7_mamdani_anderson_blasio_de,"['mamdani', 'anderson', 'blasio', 'de', 'one', 'zohran', 'cooper', 'bill', 'with', 'imposter']","['Bill de Blasio on imposter who duped newspaper with Mamdani attack', ""'It really was a surreal feeling': Bill de Blasio reacts to impersonator criticizing Mamdani"", 'A closer look: Zohran Mamdani one-on-one with Anderson Cooper']",CNN
8,4,8_governor_campaign_candidates_democratic,"['governor', 'campaign', 'candidates', 'democratic', 'could', 'even', 'four', 'latinos', 'jersey', 'problem']","[""Why Latinos could swing the New Jersey Governor's race"", 'Obama to return to campaign trail for Democratic governor candidates', 'Four-time governor: ‘This was not even a problem until Trump started it’']",CNN
-1,18,-1_trump_this_the_of,"['trump', 'this', 'the', 'of', 'gutfeld', 'kilmeade', 'nuke', 'brian', 'show', 'state']","[""WATCH: Trump ally predicts 'magnificent' victory in blue state as early voting surges"", 'Trump back from Asia as shutdown blame game continues | Brian Kilmeade Show', '‘Gutfeld!’: Trump should wear this to the State of the Union']",Fox News
0,17,0_fox_news_nyc_foxnews,"['fox', 'news', 'nyc', 'foxnews', 'ny', 'at', 'shorts', 'in', 'floodwaters', 'blm']","['SEE IT: Military families line up at food banks as shutdown drags on #foxnews #news #us #fox', 'WATCH: Floodwaters rush streets in NY as heavy rain triggers flash flood warnings #shorts #usa #nyc', 'Two dead after floodwaters rip through NYC #foxnews #news #us #fox #nyc #newyork']",Fox News
1,13,1_shutdown_dems_johnson_mike,"['shutdown', 'dems', 'johnson', 'mike', 'as', 'are', 'says', 'gop', 'schumer', 'off']","[""'People are NOT LEVERAGE': Dems blasted for 'hypocrisy' as veterans face shutdown pains"", ""Mike Johnson says Dems are 'AFRAID' of Schumer: 'There'll be a price to pay'"", 'House Speaker Mike Johnson and GOP members hold press conference on government shutdown']",Fox News
2,11,2_trump_xi_china_shorts,"['trump', 'xi', 'china', 'shorts', 'the', 'with', 'meeting', 'eye', 'stakes', 'high']","['BEHIND THE SCENES of Trump, Xi: Lutnick pulls back the curtain on high-stakes meeting', 'WATCH: Trump, Xi meet face-to-face for first time in years #shorts #trump #china #xjinping #us', 'Trump praises Xi ahead of high-stakes summit #shorts #trump #us #foxnews #china #usnews #trade']",Fox News
3,10,3_halloween_trump_president_shorts,"['halloween', 'trump', 'president', 'shorts', 'viral', 'candy', 'and', 'lady', 'trick', 'or']","['GONE VIRAL, AGAIN: Trump strikes again with candy move during WH Halloween #shorts #viral #trump', 'President Trump and First Lady Melania Trump celebrate Halloween', 'HAPPENING NOW: President Trump and the first lady hand out Halloween candy #shorts #halloween #fox']",Fox News
4,9,4_vance_to_for_of,"['vance', 'to', 'for', 'of', 'look', 'the', 'out', 'job', 'my', 'duffy']","[""Vance: I'm here 'to do the most amount of good for God' #shorts"", ""'My job is to look out for people of the US': Vance challenged on immigration crackdown"", ""Vance: My job is not to look out for the whole world, it's to look out for the people of the US #us""]",Fox News
5,8,5_harris_kamala_kirk_face,"['harris', 'kamala', 'kirk', 'face', 'is', 'applauds', 'assassination', 'beyond', 'celebration', 'calls']","[""'REALLY?!': Kamala Harris SHOCKS Jon Stewart #shorts"", ""EXCLUSIVE PREVIEW: Erika Kirk in her first sit-down interview since husband's assassination"", ""Reporter CALLS OUT Kamala Harris face-to-face: 'WORLD CLASS PIVOT'""]",Fox News
6,7,6_ice_noem_illegal_anti,"['ice', 'noem', 'illegal', 'anti', 'chicago', '97', '10k', 'immigrant', 'hit', 'explosive']","['BREAKING: Anti-ICE protesters gather at facility near Chicago', 'NEW: Noem says over 2 million illegal immigrants have left the US since Trump took office #usa #us', ""Illegal immigrant puts $10k hit on ICE officers: 'They should be doxxed'""]",Fox News
7,4,7_nuclear_testing_trump_as,"['nuclear', 'testing', 'trump', 'as', 'anybody', 'about', '33', 'asks', 'detonation', 'resumes']","[""NEW: Russia WARNS US over Trump's nuclear testing order"", ""Trump says US has 'more nuclear weapons than anybody' as testing resumes"", ""World braces for 'dangerous race' as Trump breaks 33-year nuclear testing silence""]",Fox News
8,3,8_officer_police_us_were,"['officer', 'police', 'us', 'were', 'by', 'attorney', 'man', 'judge', 'taken', 'some']","['WATCH: Man ON FIRE saved by police #shorts', 'US Attorney Pirro: They were taken from us in what I believe were predictable homicides #shorts #us', ""'You got some pants on, officer?': Police officer leaves judge STUNNED #shorts #foxnews #us #news""]",Fox News
-1,10,-1_away_for_to_ice,"['away', 'for', 'to', 'ice', 'in', 'after', 'from', 'abughazaleh', 'dramatically', 'drops']","['Toronto Blue Jays one win away from World Series victory', 'A mom scrambles to control a giant inflatable pumpkin that nearly flies away on a windy day', 'DHS Secretary Kristi Noem denies request to pause ICE operations in Chicago for Halloween']",NBC News
0,14,0_now_oct_news_30,"['now', 'oct', 'news', '30', 'morning', '31', 'nbc', 'episode', 'top', 'the']","['This Morning’s Top Headlines – Oct. 30 | Morning News NOW', 'Morning News NOW Full Episode - Oct. 31', 'Morning News NOW Full Episode – Oct. 30']",NBC News
1,14,1_snap_benefits_out_shutdown,"['snap', 'benefits', 'out', 'shutdown', 'in', 'on', 'americans', 'admin', 'negotiations', 'not']","['Trump admin. treating Americans who rely on SNAP as ‘political pawns,’ says California AG', 'GOP leaders ‘not willing to promise anything’ on health care amid shutdown negotiations', 'Federal judge orders Trump administration to pay SNAP benefits out of contingency fund']",NBC News
2,11,2_halloween_fbi_terror_escapes,"['halloween', 'fbi', 'terror', 'escapes', 'michigan', 'its', 'monkey', 'pet', 'attack', 'owner']","['FBI thwarts potential terror attack in Michigan planned around Halloween', 'Pet monkey escapes its owner in Texas Halloween store', 'Pet monkey escapes its owner in Texas Halloween store']",NBC News
3,11,3_hurricane_melissa_flooding_after,"['hurricane', 'melissa', 'flooding', 'after', 'at', 'dead', 'people', 'severe', 'least', 'jamaica']","['How one organization is racing to get Hurricane Melissa aid to Jamaica', 'Residents plea for help after Hurricane Melissa is hard-hit town of Black River', 'At least 36 people dead after Hurricane Melissa batters Caribbean islands']",NBC News
4,7,4_nuclear_testing_weapons_says,"['nuclear', 'testing', 'weapons', 'says', 'begin', 'masquerading', 'strength', 'test', 'weakness', 'order']","['Trump orders U.S. to begin testing nuclear weapons', ""Newsom: Trump's nuclear weapons testing order is 'weakness masquerading in strength'"", ""Newsom says Trump's nuclear weapons testing order is 'weakness masquerading in strength'""]",NBC News
5,6,5_xi_with_president_trump,"['xi', 'with', 'president', 'trump', 'meeting', 'chinese', 'meets', 'china', 'jinping', 'honor']","['Special Report: Trump meets with Chinese President Xi', 'Trump meets with Chinese President Xi Jinping', ""Key takeaways from Trump's meeting with Chinese President Xi""]",NBC News
6,5,6_mamdani_zohran_nyc_the,"['mamdani', 'zohran', 'nyc', 'the', 'chuck', 'dating', 'gen', 'bronx', 'fueling', 'focus']","['How Zohran Mamdani is fueling a democratic socialism surge in NYC', ""Chuck Schumer, ICE and the 'singles tax': Here's what Zohran Mamdani just told us"", ""Why Zohran Mamdani's focus is on the Bronx right before the NYC mayoral election""]",NBC News
7,5,7_body_egyptian_human_grand,"['body', 'egyptian', 'human', 'grand', 'museum', 'parts', 'before', 'it', 'got', 'displays']","['New Grand Egyptian Museum displays never-before-seen treasures', ""An inside look at the Grand Egyptian Museum before it's public opening"", 'Coroner assumed it was ‘a hoax’ when he got the call about box of human body parts']",NBC News
8,5,8_treaters_trick_or_host,"['treaters', 'trick', 'or', 'host', 'white', 'lady', 'house', 'the', 'first', 'trump']","['Some trick-or-treaters picking potatoes over candy', 'LIVE: Trump and first lady Melania host trick-or-treaters at the White House | NBC NEWS', 'Trump and the first lady host trick-or-treaters at the White House']",NBC News
9,4,9_andrew_royal_prince_titles,"['andrew', 'royal', 'prince', 'titles', 'stripped', 'formally', 'getting', 'have', 'eject', 'charles']","['King Charles to remove Prince Andrew’s titles and eject him from Royal lodge', 'Why is Prince Andrew now getting stripped of his royal titles?', 'Prince Andrew stripped of royal titles amid mounting pressure']",NBC News
10,4,10_teacher_shot_by_being,"['teacher', 'shot', 'by', 'being', 'she', 'student', 'testifies', 'coverage', 'reconstruction', 'thought']","['Virginia teacher shot by first grade student takes the stand in civil trial', 'Former teacher testifies about being shot by 6-year-old', 'Teacher testifies she thought she ‘had died’ after being shot by student']",NBC News
11,4,11_dog_stranded_firefighters_otter,"['dog', 'stranded', 'firefighters', 'otter', 'shows', 'cliffside', 'daring', 'cliff', 'assisted', 'fire']","['Firefighters rescue dog stranded on California cliff', ""Splash, a two-year-old otter, is becoming the nation's first search and recovery otter"", 'Dramatic video shows firefighters rescuing dog stranded on cliffside']",NBC News
-1,5,-1_admits_bribery_argues_airstrikes,"['admits', 'bribery', 'argues', 'airstrikes', 'ceasefire', 'charged', 'book', 'michigan', 'guard', 'humans']","['Mississippi Delta officers charged in drug trafficking bribery scheme', ""Trump administration admits National Guard was sent to Portland after judge's order"", 'New book argues superhuman AI puts humans on path to extinction']",CBS News
0,21,0_shutdown_snap_government_as,"['shutdown', 'snap', 'government', 'as', 'benefits', 'to', 'funding', 'lapse', 'republicans', 'says']","['Thune slams Democratic bill to fund SNAP as attempt to continue government shutdown', 'Government shutdown reaches Day 30 ahead of pivotal Nov. 1 deadline for SNAP benefits', 'Johnson says on Saturday ""things are going to become very dark"" when shutdown SNAP lapse begins']",CBS News
1,17,1_china_trump_meeting_xi,"['china', 'trump', 'meeting', 'xi', 'jinping', 'with', 'south', 'trade', 'korea', 'to']","['Trump boasts about ""amazing"" meeting with China\'s Xi Jinping but no trade deal signed', ""Potential consequences of Trump's meeting with Xi Jinping in South Korea"", 'Trump slashes China tariffs, says ""we have a deal"" after meeting with Xi Jinping']",CBS News
2,14,2_sonya_massey_grayson_sean,"['sonya', 'massey', 'grayson', 'sean', 'murder', 'in', 'guilty', 'family', 'for', 'of']","['Inside the courtroom as Sean Grayson convicted of second-degree murder in Sonya Massey case', ""What we know about Sean Grayson's guilty verdict in Sonya Massey murder case"", 'Sean Grayson found guilty of 2nd-degree murder in Sonya Massey shooting']",CBS News
3,10,3_new_the_york_marathon,"['new', 'the', 'york', 'marathon', '2025', 'city', 'california', 'win', 'elections', 'redistricting']","['Can the Blue Jays win the World Series against the Dodgers and the legendary Ohtani?', 'Man running New York City Marathon 2 years after getting heart transplant', 'Breaking down the elections in New York, New Jersey, Virginia and California']",CBS News
4,10,4_hurricane_melissa_jamaica_videos,"['hurricane', 'melissa', 'jamaica', 'videos', 'in', 'from', 'across', 'destruction', 'caribbean', 'the']","['Video shows massive damage in Jamaica from Hurricane Melissa', ""Drone footage, raw videos capture Hurricane Melissa's aftermath in Jamaica"", ""Hurricane Melissa's destruction across the Caribbean seen in new videos""]",CBS News
5,7,5_andrew_titles_prince_monkeys,"['andrew', 'titles', 'prince', 'monkeys', 'epstein', 'royal', 'everywhere', 'shorts', 'it', 'journalist']","['""It was monkeys everywhere"": Journalist recalls going to site of crash where monkeys escaped #shorts', 'World reacts after Prince Andrew is stripped of titles and home as Epstein controversy persists', 'Prince Andrew is now Andrew Mountbatten Windsor after losing titles over lingering Epstein claims']",CBS News
6,5,6_nuclear_weapons_testing_trump,"['nuclear', 'weapons', 'testing', 'trump', 'orders', 'pentagon', 'on', 'resuming', 'pause', 'behind']","[""Breaking down Trump's comments on resuming nuclear weapons testing"", 'Trump orders Pentagon to resume testing nuclear weapons ""immediately""', ""Behind Trump's order to the Pentagon on nuclear weapons testing""]",CBS News
7,5,7_cut_fed_rates_rate,"['cut', 'fed', 'rates', 'rate', 'interest', 'december', '10', '25', 'above', 'dow']","['Federal Reserve cuts interest rates by 0.25 percentage points amid weaker labor market #shorts', 'Dow dips after Powell suggests Fed may not make December rate cut', 'Why the Fed cut interest rates again despite inflation remaining above target']",CBS News
8,3,8_hamas_hostage_remains_deployments,"['hamas', 'hostage', 'remains', 'deployments', 'hands', 'israeli', 'officials', 'pressure', 'guards', 'form']","['Pentagon orders state National Guards to form ""quick reaction forces"" for deployments', 'Pressure mounts on Hamas to return hostage remains', 'Hamas hands over more Israeli hostage remains as U.S. officials tour Gaza Strip']",CBS News
9,3,9_event_turning_vance_usa,"['event', 'turning', 'vance', 'usa', 'point', 'at', 'jd', 'immigration', 'kirk', 'reduction']","['Rep. María Salazar on alleged drug boat strikes: ""It was about time""', 'Vance calls for reduction in legal immigration at Turning Point USA event', 'JD Vance, Erika Kirk speak at Turning Point USA event in Mississippi']",CBS News
0,85,0_trump_as_the_in,"['trump', 'as', 'the', 'in', 'fox', 'johnson', 'on', 'maga', 'gets', 'his']","['Trump Left REELING As Fox And CNN Tag-Team His Lies About Prices', 'Trump MELTS DOWN As Architects And The Public TRASH HIM!', ""CHAOS In The White House As Trump's Biggest Allies ABANDON HIM!""]",The Young Turks
1,15,1_ice_after_agent_for,"['ice', 'after', 'agent', 'for', 'slapped', 'lawsuit', 'innocent', 'agents', 'woman', 'man']","['ICE Agent Executes Father After School Drop-Off', 'ICE Gets SLAPPED with Lawsuit for Terrorizing Innocent U.S. Citizen', 'ICE Slapped With $50M Lawsuit For Throwing 79 Yr Old Man To Pavement']",The Young Turks
-1,9,-1_the_malala_finding_yousafzai,"['the', 'malala', 'finding', 'yousafzai', 'his', 'it', 'miguel', 'at', 'is', 'up']","['When migrants leave the US or decide not to come at all, the economy can suffer', 'USA TODAY reporter gave up Coca-Cola cold turkey. This is how it went.', 'At 28, Malala Yousafzai is finally finding her way | The Excerpt']",USA Today
0,25,0_melissa_hurricane_jamaica_in,"['melissa', 'hurricane', 'jamaica', 'in', 'storm', 'aftermath', 'of', 'as', 'cuba', 'bahamas']","['Hurricane Melissa aftermath in Jamaica results in heavy damage from historic storm', 'Watch live: Hurricane Melissa aftermath seen in Jamaica as Bahamas brace for storm', 'See devastating aftermath of Hurricane Melissa in Jamaica, Cuba']",USA Today
1,20,1_halloween_the_pumpkin_house,"['halloween', 'the', 'pumpkin', 'house', 'white', 'and', 'see', 'on', 'creative', 'candy']","['Zoo animals kick off pumpkin fun for Halloween', 'Watch live: President Trump hosts trick or treaters at the White House', 'Trump hands out candy to kids in creative costumes at White House Halloween']",USA Today
2,10,2_kirk_erika_event_charlie,"['kirk', 'erika', 'event', 'charlie', 'vance', 'jd', 'turning', 'usa', 'point', 'at']","['Live: JD Vance, Erika Kirk speak at Ole Miss Turning Point USA event', ""Full Erika Kirk speech at Ole Miss Turning Point USA event highlights Charlie Kirk's vision"", 'VP JD Vance and Erika Kirk reflect on Charlie Kirk’s legacy at Turning Point USA event']",USA Today
3,9,3_shutdown_end_federal_no,"['shutdown', 'end', 'federal', 'no', 'republicans', 'sight', 'rate', 'enters', 'speaks', 'government']","['Federal Reserve reduces interest rate by a quarter point amid government shutdown', 'Government shutdown enters week five with no end in sight | The Excerpt', 'Federal shutdown enters 28th day with no end in sight as Republicans and Democrats stand-off']",USA Today
4,8,4_snap_benefits_food_your,"['snap', 'benefits', 'food', 'your', 'banks', 'shutdown', 'survive', 'their', 'who', 'signature']","['Single mom grapples with loss of SNAP benefits, food stamps', 'California National Guard aid at LA food banks as SNAP benefits lapse', 'Food banks brace for halt in food assistance, SNAP benefits amid government shutdown']",USA Today
5,8,5_xi_president_trump_korea,"['xi', 'president', 'trump', 'korea', 'chinese', 'and', 'south', 'talk', 'tariffs', 'meeting']","['Trump meets Xi to talk US-China trade and relations at meeting in South Korea as Asia trip nears end', 'President Trump and Chinese President Xi meet in Korea', 'President Trump and Chinese President Xi meet in Korea']",USA Today
6,6,6_fbi_thwarted_officer_terrorist,"['fbi', 'thwarted', 'officer', 'terrorist', 'police', 'watch', 'in', 'found', 'guilty', 'director']","[""Police officer appears at court proceeding without his pants: See judge's reaction"", 'FBI searches Dearborn home amid reports of thwarted terrorist plot', 'Possible terrorist attack thwarted in Michigan, according to FBI director']",USA Today
7,5,7_nuclear_says_resume_strikes,"['nuclear', 'says', 'resume', 'strikes', 'testing', 'weapons', 'not', 'trump', 'after', 'threat']","['Trump says ceasefire not at risk after Israel strikes Gaza', 'Trump orders nuclear weapons testing to resume after 33-year pause', 'Donald Trump wants to resume nuclear testing but expert says nuclear weapons are still global threat']",USA Today
-1,7,-1_in_wsj_kings_jewels,"['in', 'wsj', 'kings', 'jewels', 'no', 'tech', 'is', 'trump', 'heist', 'california']","[""California Beachside 'No Kings' Protest in MAGA Hotbed"", 'Louvre Heist: How Thieves Stole ‘Priceless’ Jewels in Broad Daylight | WSJ', 'The NFL’s Secret Weapon in London Is This Hidden Stadium Tech | WSJ Tech Behind']",The Wall Street Journal
0,16,0_shutdown_government_day_the,"['shutdown', 'government', 'day', 'the', 'to', 'why', 'of', 'this', 'how', 'what']","['U.S. Government Shutdown Enters Day Two: What to Expect', 'Government Shutdown 2025: Why This Time Seems Different', 'How This Shutdown Affects Pay for Different Types of Federal Workers']",The Wall Street Journal
1,10,1_hamas_israel_gaza_the,"['hamas', 'israel', 'gaza', 'the', 'wsj', 'inside', 'humanoid', 'home', 'robot', 'as']","['The Fragile Israel-Hamas Cease-Fire: Two Families’ Search for Remains | WSJ', '1X CEO Defends Why the Neo Humanoid Robot Belongs in Your Home | WSJ', 'Trump’s Israel–Hamas Gaza Peace Plan: The Challenges Ahead']",The Wall Street Journal
2,4,2_flying_venezuela_near_wsj,"['flying', 'venezuela', 'near', 'wsj', '190k', 'defenses', 'amasses', 'brazenly', 'car', 'license']","['Why the U.S. Is Flying Bombers Near Venezuela', 'The $190K ‘Flying Car’ That Doesn’t Require a Pilot’s License  | WSJ Tech Behind', 'U.S. Amasses Firepower Near Venezuela: What It Means for Trump and Maduro | WSJ']",The Wall Street Journal
-1,22,-1_at_on_to_in,"['at', 'on', 'to', 'in', 'east', 'wing', 'what', 'federal', 'new', 'white']","['Journalist Injured in Chaotic Scene at New York Immigration Court', 'Trump Is Demolishing Entire East Wing of White House', 'White House Demolishes Facade of East Wing to Build Trump’s Ballroom']",The New York Times
0,10,0_trump_military_guard_national,"['trump', 'military', 'guard', 'national', 'portland', 'leaders', 'troops', 'cities', 'why', 'how']","['Judge Blocks Trump in Portland as He Seeks More Troops for Democratic Cities', 'How Portland Is Reacting to Trump’s National Guard Threat', 'Why Trump’s National Guard Deployments Break With Military Tradition']",The New York Times
1,9,1_gaza_deal_hamas_truce,"['gaza', 'deal', 'hamas', 'truce', 'palestinians', 'israel', 'israeli', 'after', 'and', 'for']","['‘What Truce Is This?’ Gazans Reel After Israeli Strikes Kill Dozens', 'Israel Intercepts Flotilla Headed for Gaza, Detains Activists', 'Israel and Hamas Agree on Initial Terms of a Deal']",The New York Times
2,8,2_madagascar_president_wins_protests,"['madagascar', 'president', 'wins', 'protests', 'in', 'claims', 'dissolves', 'further', 'happened', 'impeached']","['World’s Oldest President on Record Wins Eighth Term', 'Military Claims Power in Madagascar After President Is Impeached', 'Madagascar’s President Dissolves Government Amid Deadly Protests']",The New York Times
3,8,3_shutdown_government_trade_democrats,"['shutdown', 'government', 'trade', 'democrats', 'as', 'how', 'the', 'furniture', 'blame', 'felt']","['How Federal Workers Feel About the Government Shutdown', 'Trump’s Tariffs on Furniture and Lumber Begin as Trade War Ramps Up', 'Republicans and Democrats Trade Blame as Shutdown Looms']",The New York Times
4,6,4_by_hit_hurricane_melissa,"['by', 'hit', 'hurricane', 'melissa', 'philippines', 'strikes', 'deadly', 'flooding', 'direct', 'flash']","['Hurricane Melissa Leaves Trail of Destruction', 'Nepal Hit by Deadly Floods and Landslides', 'Jamaica Braces for Direct Hit by Hurricane Melissa']",The New York Times
5,4,5_scene_watch_anatomy_of,"['scene', 'watch', 'anatomy', 'of', 'from', 'in', 'dynamite', 'cycle', 'deliver', 'dance']","['Watch Jennifer Lopez Dance in ‘Kiss of the Spider Woman’ | Anatomy of a Scene', 'Watch Jeremy Allen White Sing in ‘Springsteen: Deliver Me From Nowhere’ | Anatomy of a Scene', 'Watch a Tense Scene From ‘A House of Dynamite’ | Anatomy of a Scene']",The New York Times
6,4,6_people_his_andrew_destroys,"['people', 'his', 'andrew', 'destroys', 'explodes', '18', 'home', 'guilty', 'governor', 'firebombing']","['Man Pleads Guilty to Firebombing Pennsylvania Governor’s Residence', 'Prince Andrew Is Losing His Titles and His Home', 'Ammunition Plant Explodes in Tennessee; 18 People Are Missing']",The New York Times
7,4,7_louvre_heist_the_epstein,"['louvre', 'heist', 'the', 'epstein', 'grab', 'jewelry', 'ladder', 'jewels', 'holding', 'priceless']","['Thieves Grab ‘Priceless’ Jewels From Louvre in 7 Minutes', 'How the Louvre Jewelry Heist Unfolded', 'The Ladder in the Louvre Heist Is a New Ad Star']",The New York Times
8,3,8_deportation_explained_assad_flight,"['deportation', 'explained', 'assad', 'flight', 'visual', 'investigations', 'investigated', 'ice', 'hyundai', 'henchmen']","['Behind the U.S. Deportation Flight to Iran', 'The ICE Raid at a Hyundai Plant, Explained', 'We Investigated Assad’s Fugitive Henchmen | Visual Investigations']",The New York Times
9,3,9_nyc_benches_buying_becoming,"['nyc', 'benches', 'buying', 'becoming', 'evolved', 'race', 'mayoral', 'piece', 'subway', 'mamdani']","['Buying a Piece of the NYC Subway', 'Why City Benches Are Becoming More Hostile', 'How Mamdani Has Evolved in the NYC Mayoral Race']",The New York Times
